,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,-0.6600710844989592,1,0,-0.724281602868713,S,Third,man,True,Southampton,no,False,1
1,1,1,female,0.8313015644581575,1,0,1.8799939464025028,C,First,woman,False,Cherbourg,yes,False,1
2,1,3,female,-0.28722792225967964,0,0,-0.6968289181600057,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.5516691927786982,1,0,1.1404674251227425,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.5516691927786982,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
5,0,3,male,0.057569757996452996,0,0,-0.6751392637079263,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,2.322674213415275,0,0,1.0901375031567786,S,First,man,True,Southampton,no,True,0
8,1,3,female,-0.19401713169985987,0,2,-0.5663452909734193,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,-1.4057574089775176,1,0,0.20385503002087038,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,-2.3378653145757156,1,1,-0.3399440169468101,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,-0.8464926656185987,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.9245123550179772,1,5,0.2528306195412044,S,Third,man,True,Southampton,no,False,6
14,0,3,female,-1.4057574089775176,0,0,-0.6997083997561191,S,Third,child,False,Southampton,no,True,0
15,1,2,female,2.4158850039750943,0,0,-0.3684134677558399,S,Second,woman,False,Southampton,yes,True,0
17,1,2,male,0.057569757996452996,0,0,-0.49042539979453925,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.17882603053941917,1,0,-0.28707217973004034,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,0.057569757996452996,0,0,-0.7252983689690355,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.5516691927786982,0,0,0.03829297237315804,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.45845840221887846,0,0,-0.49042539979453925,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,-1.3125466184176977,0,0,-0.6925910370538616,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,-0.1008063411400401,0,0,0.424664090495706,S,First,man,True,Southampton,yes,True,0
24,0,3,female,-1.9650221523364362,3,1,-0.16200994939037344,S,Third,child,False,Southampton,no,False,4
25,1,3,female,0.8313015644581575,1,5,0.2574060669926555,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,0.057569757996452996,0,0,-0.7252983689690355,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,0.057569757996452996,0,0,-0.6986916336557966,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,0.057569757996452996,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
30,0,1,male,1.017723145577797,0,0,0.10827901659055596,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,0.057569757996452996,0,0,-0.7039462808622632,Q,Third,woman,False,Queenstown,yes,True,0
34,0,1,male,-0.1008063411400401,1,0,2.3227955830929496,C,First,man,True,Cherbourg,no,False,1
35,0,1,male,1.204144726697437,1,0,1.0957297167085527,S,First,man,True,Southampton,no,False,1
36,1,3,male,0.057569757996452996,0,0,-0.7251275522641815,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,-0.753281875058779,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
38,0,3,female,-1.0329142467382382,2,0,-0.28707217973004034,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,-1.4057574089775176,1,0,-0.5619365931624211,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,1.017723145577797,1,0,-0.633789419940011,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,-0.19401713169985987,1,0,-0.165060247691341,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,0.057569757996452996,0,0,-0.6980165009651823,C,Third,man,True,Cherbourg,no,True,0
44,1,3,female,-0.9397034561784184,0,0,-0.6986916336557966,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,0.057569757996452996,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
46,0,3,male,0.057569757996452996,1,0,-0.3887487897622899,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,0.057569757996452996,2,0,-0.13743674627777933,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,-1.0329142467382382,1,0,-0.2952063085326202,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,-2.058232942896256,4,1,0.594972412299724,S,Third,child,False,Southampton,no,False,5
51,0,3,male,-0.753281875058779,0,0,-0.7019127486616181,S,Third,man,True,Southampton,no,True,0
52,1,1,female,1.8566202606161755,1,0,2.101482206632354,C,First,woman,False,Cherbourg,yes,False,1
53,1,2,female,-0.007595550580220341,1,0,0.03829297237315804,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,0.057569757996452996,0,0,0.424664090495706,S,First,man,True,Southampton,yes,True,0
56,1,2,female,-0.753281875058779,0,0,-0.5921020098267887,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,-0.054200945860130224,0,0,-0.7251275522641815,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,-2.2446545240158957,1,2,0.10946659939573256,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,-1.6853897806569769,5,2,0.8883094322427635,S,Third,child,False,Southampton,no,False,7
60,0,3,male,-0.6600710844989592,0,0,-0.7251275522641815,C,Third,man,True,Cherbourg,no,True,0
61,1,1,female,0.8313015644581575,0,0,2.2345077490697465,S,First,woman,False,Southampton,yes,True,0
62,0,1,male,1.4837770983768963,1,0,2.375838237014573,S,First,man,True,Southampton,no,False,1
63,0,3,male,-2.3378653145757156,3,2,0.11556719599766753,S,Third,child,False,Southampton,no,False,5
64,0,1,male,0.057569757996452996,0,0,0.10827901659055596,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,0.057569757996452996,1,1,-0.399087267470369,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,-0.007595550580220341,0,0,-0.5921020098267887,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,-0.9397034561784184,0,0,-0.6873404569117961,S,Third,man,True,Southampton,no,True,0
68,1,3,female,-1.126125037298058,4,2,-0.6968289181600057,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,-0.28722792225967964,2,0,-0.666834318200492,S,Third,man,True,Southampton,no,False,2
70,0,2,male,0.27203682109923893,0,0,-0.5921020098267887,S,Second,man,True,Southampton,no,True,0
71,0,3,female,-1.219335827857878,5,2,0.8883094322427635,S,Third,woman,False,Southampton,no,False,7
72,0,2,male,-0.753281875058779,0,0,1.9701485629858984,S,Second,man,True,Southampton,no,True,0
73,0,3,male,-0.28722792225967964,1,0,-0.4312821492709804,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,0.27203682109923893,0,0,1.2785767980617477,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,-0.3804387128194999,0,0,-0.7080133452635532,S,Third,man,True,Southampton,no,True,0
79,1,3,female,0.08561523997959943,0,0,-0.5117774879013116,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,-0.6600710844989592,0,0,-0.6531079758461383,S,Third,man,True,Southampton,no,True,0
81,1,3,male,-0.007595550580220341,0,0,-0.6327726538396886,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,0.057569757996452996,0,0,-0.7024211317117796,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,-0.1008063411400401,0,0,0.8964435610453436,S,First,man,True,Southampton,no,True,0
84,1,2,female,-1.126125037298058,0,0,-0.5921020098267887,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,0.3652476116590587,3,0,-0.3745140643577749,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,-1.219335827857878,1,3,0.37890961598119366,S,Third,man,True,Southampton,no,False,4
