,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,new_age,sex_code,embarked_num
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,young adult,0,0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,adult,1,1
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,adult,1,0
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,adult,1,0
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,adult,0,0
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,,0,2
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,adult,0,0
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,child,0,0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,adult,1,0
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,child,1,1
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,child,1,0
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,adult,1,0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,young adult,0,0
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,adult,0,0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,child,1,0
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,adult,1,0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,child,0,2
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,,0,0
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,adult,1,0
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,,1,1
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,adult,0,0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,adult,0,0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,child,1,2
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,adult,0,0
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,child,1,0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,adult,1,0
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,,0,1
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,young adult,0,0
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,,1,2
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,,0,0
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,adult,0,1
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,,1,1
